player_name,pos,team,projection
Greg Olsen O,TE,CAR,71.7
Derek Wolfe,DE,DEN,71.6
K'Waun Williams O,CB,SF,71.55
Ross Cockrell,CB,CAR,71.5
Jimmie Ward,FS,SF,71.5
Vernon Butler,DT,CAR,71.5
Denzel Perryman,ILB,LAC,71.5
Earl Thomas III,FS,BAL,71.2
JuJu Smith-Schuster Q,WR,PIT,71.2
Aldrick Rosas,K,NYG,71
Rock Ya-Sin,CB,IND,71
Noah Fant,TE,DEN,71
Isaiah Oliver,CB,ATL,71
Nick Williams,DT,CHI,70.8
Chase Edmonds,RB,ARI,70.8
Leighton Vander Esch,OLB,DAL,70.7
Tre Herndon,CB,JAX,70.5
Davon Godchaux IR,NT,MIA,70.45
Jahlani Tavai,ILB,DET,70.4
J.J. Watt,DE,HOU,70.35
A.J. Bouye,CB,JAX,70
Shaquill Griffin Q,CB,SEA,70
Montae Nicholson,SS,WAS,70
Carl Nassib,DE,TB,70
Juan Thornhill,FS,KC,70
Clelin Ferrell,DE,LV,70
Jonnu Smith,TE,TEN,69.7
Bashaud Breeland,CB,KC,69.5
Steven Nelson,CB,PIT,69.5
Marshon Lattimore Q,CB,NO,69.5
Daryl Worley,CB,LV,69.5
Steven Sims Jr.,WR,WAS,69.5
John Simon,DE,NE,69.4
Denzel Ward O,CB,CLE,69
Demarcus Robinson,WR,KC,68.9
Jack Doyle,TE,IND,68.8
Marcus Maye,FS,NYJ,68.5
Ed Oliver,DT,BUF,68.4
Eric Wilson,OLB,MIN,68.4
Darnell Savage,SS,GB,68
Drew Lock,QB,DEN,68
Myles Jack,OLB,JAX,67.9
Allen Lazard,WR,GB,67.8
Kendrick Bourne,WR,SF,67.8
Brandon Carr,CB,BAL,67.5
T.J. Carrie,CB,CLE,67.3
Rashaad Penny PUP,RB,SEA,67.3
Emmanuel Ogbah,DE,KC,67.25
John Ross III IR,WR,CIN,67
Khari Willis,SS,IND,67
Nigel Bradham,ILB,PHI,66.5
Germaine Pratt,ILB,CIN,66.5
Brennan Scarlett IR,OLB,HOU,66.45
Danny Shelton,DT,NE,66.4
Dolphins,D/ST,Dolphins,64
Steelers,D/ST,Steelers,108
Washington,D/ST,Washington,77
Rams,D/ST,Rams,79
Seahawks,D/ST,Seahawks,20
Browns,D/ST,Browns,63
Giants,D/ST,Giants,56
Packers,D/ST,Packers,40
Saints,D/ST,Saints,83
Colts,D/ST,Colts,111
Broncos,D/ST,Broncos,45
Bengals,D/ST,Bengals,8
Jets,D/ST,Jets,13
Cardinals,D/ST,Cardinals,44
Panthers,D/ST,Panthers,34
Cowboys,D/ST,Cowboys,11
Vikings,D/ST,Vikings,20
Jaguars,D/ST,Jaguars,11
Ravens,D/ST,Ravens,85
Bears,D/ST,Bears,60
Eagles,D/ST,Eagles,66
Bills,D/ST,Bills,39
Texans,D/ST,Texans,21
49ers,D/ST,49ers,48
Lions,D/ST,Lions,12
Falcons,D/ST,Falcons,9
Raiders,D/ST,Raiders,9
Chargers,D/ST,Chargers,41
Chiefs,D/ST,Chiefs,59
Titans,D/ST,Titans,24
Patriots,D/ST,Patriots,50
Buccaneers,D/ST,Buccaneers,84
Corey Clement,RB,PHI,-4
Michael Walker,WR,JAX,-2.5
Quincy Enunwa,WR,NYJ,-2.4
Ray-Ray McCloud III,WR,CAR,-2
Greg Dortch,WR,CAR,-2
Darrius Shepherd,WR,GB,-1.9
Jarrett Stidham,QB,NE,-1.64
Sean Mannion,QB,MIN,-1.46
Blake Bortles,QB,LAR,-0.78
Garrett Gilbert,QB,CLE,-0.3
Nick Mullens,QB,SF,-0.3
Tim Boyle,QB,GB,-0.1
Zak DeOssie,LS,NYG,0
Jon Condo,LS,SF,0
L.P. Ladouceur,LS,DAL,0
Don Muhlbach,LS,DET,0
Matthew Slater P,WR,NE,0
J.J. Jansen,LS,CAR,0
Garrison Sanborn,LS,SF,0
Morgan Cox,LS,BAL,0
Jon Weeks,LS,HOU,0
Nick Sundberg,LS,WAS,0
Dekoda Watson,OLB,SEA,0
Clark Harris,LS,CIN,0
Marcus Sherels,CB,MIA,0
Jake McQuaide,LS,LAR,0
Aaron Brewer,LS,ARI,0
Malik Jackson,DT,PHI,0
Garrett Celek,TE,SF,0
Robert Turbin,RB,SEA,0
Josh Harris,LS,ATL,0
